model-1601899771,1601899775.035,18,1.0,0.0062,0.71,0.1807
model-1601899771,1601899775.053,18,0.93,0.0272,0.71,0.1848
model-1601899771,1601899775.07,18,1.0,0.0022,0.71,0.1892
model-1601899771,1601899775.086,18,1.0,0.0029,0.71,0.1919
model-1601899771,1601899775.107,19,1.0,0.0267,0.71,0.1846
model-1601899771,1601899775.124,19,1.0,0.0054,0.71,0.179
model-1601899771,1601899775.14,19,1.0,0.0031,0.71,0.1789
model-1601899771,1601899775.157,19,1.0,0.0012,0.79,0.1827
model-1601899771,1601899775.173,19,1.0,0.0031,0.71,0.1884
model-1601899771,1601899775.19,19,1.0,0.0007,0.71,0.1952
model-1601899771,1601899775.208,19,1.0,0.0015,0.71,0.2025
model-1601899771,1601899775.224,19,1.0,0.0046,0.71,0.2035
model-1601899771,1601899775.241,19,1.0,0.0058,0.71,0.202
model-1601899771,1601899775.258,19,1.0,0.0061,0.71,0.1983
model-1601899771,1601899775.274,19,1.0,0.0088,0.71,0.1891
model-1601899771,1601899775.296,20,1.0,0.0015,0.71,0.1863
model-1601899771,1601899775.315,20,1.0,0.0063,0.71,0.1866
model-1601899771,1601899775.335,20,1.0,0.0021,0.71,0.189
model-1601899771,1601899775.351,20,1.0,0.0004,0.71,0.1925
model-1601899771,1601899775.368,20,1.0,0.001,0.79,0.196
model-1601899771,1601899775.384,20,1.0,0.0008,0.79,0.1998
model-1601899771,1601899775.402,20,1.0,0.0004,0.79,0.2037
model-1601899771,1601899775.419,20,1.0,0.0069,0.79,0.2044
model-1601899771,1601899775.435,20,1.0,0.0053,0.79,0.2006
model-1601899771,1601899775.452,20,1.0,0.0007,0.79,0.1974
model-1601899771,1601899775.468,20,1.0,0.0003,0.79,0.1944
model-1601899771,1601899775.491,21,1.0,0.0024,0.71,0.1901
model-1601899771,1601899775.508,21,1.0,0.0026,0.71,0.1854
model-1601899771,1601899775.526,21,1.0,0.0012,0.71,0.1814
